ID,dist,lat,lon
313576,3,38.642303,-121.161237
313579,3,38.642136,-121.156696
313601,3,38.641958,-121.181267
313606,3,38.641762,-121.181256
313612,3,38.625027,-121.228482
313618,3,38.624844,-121.228324
313625,3,38.615434,-121.253749
313631,3,38.615211,-121.25363
313640,3,38.600323,-121.277375
313646,3,38.600283,-121.277138
313652,3,38.583757,-121.299476
313658,3,38.583616,-121.299367
313671,3,38.554208,-121.440288
313684,3,38.55068,-121.429043
313692,3,38.55304,-121.413036
313698,3,38.552553,-121.414129
313728,3,38.560761,-121.462558
313740,3,38.578113,-121.308579
313747,3,38.5596,-121.372167
313753,3,38.559377,-121.372086
313765,3,38.569846,-121.328043
313772,3,38.575116,-121.537446
313790,3,38.570067,-121.328183
313822,3,38.575318,-121.560363
313824,3,38.57515,-121.55938
313835,3,38.576921,-121.527827
313840,3,38.576694,-121.52808
313846,3,38.562181,-121.347761
313852,3,38.561939,-121.347837
313861,3,38.573027,-121.321505
313867,3,38.572854,-121.321383
313874,3,38.558835,-121.479023
313890,3,38.56061,-121.362437
313897,3,38.560406,-121.362358
313904,3,38.619875,-121.242126
313912,3,38.619685,-121.242008
313931,3,38.5571,-121.39468
313938,3,38.556882,-121.394604
313951,3,38.584522,-121.458575
313956,3,38.560187,-121.472685
313965,3,38.631273,-121.400009
313979,3,38.552058,-121.698617
313980,3,38.552058,-121.698617
313981,3,38.5522,-121.697581
314000,3,39.114317,-120.94421
314001,3,39.114294,-120.944331
314013,3,38.552241,-121.695688
314014,3,38.552241,-121.695688
314015,3,38.551855,-121.698469
314025,3,38.552929,-121.692814
314026,3,38.552929,-121.692814
314036,3,38.609417,-121.269079
314042,3,38.60825,-121.271899
314059,3,38.609151,-121.270397
314060,3,38.608894,-121.271067
314061,3,38.608894,-121.271067
314078,3,38.60704,-121.274164
314098,3,38.424808,-121.396344
314107,3,38.409113,-121.388824
314114,3,38.422588,-121.394986
314115,3,38.419262,-121.394785
314121,3,38.585349,-121.451288
314129,3,38.611244,-121.426816
314131,3,38.611244,-121.426816
314138,3,38.609724,-121.428528
314145,3,38.594636,-121.444348
314147,3,38.597649,-121.443024
314157,3,38.600753,-121.438775
314158,3,38.559018,-121.47274
314159,3,38.165059,-121.625886
314160,3,38.165058,-121.625883
314165,3,38.645422,-121.3844
314171,3,38.645422,-121.3844
314177,3,38.638915,-121.402197
314182,3,38.705474,-121.311953
314190,3,38.707666,-121.309534
314194,3,38.246551,-121.479876
314195,3,38.55989,-121.472821
314201,3,38.72404,-121.291349
314204,3,38.725984,-121.289214
314217,3,38.787309,-121.224234
314218,3,38.787309,-121.224234
314230,3,38.643424,-121.114684
314231,3,38.643424,-121.114684
314241,3,38.643267,-121.11836
314242,3,38.643267,-121.11836
314248,3,38.643231,-121.112934
314254,3,39.323069,-120.214727
314255,3,39.32321,-120.214909
314262,3,38.639549,-121.200008
314270,3,38.557427,-121.448474
314277,3,39.422101,-120.034939
314291,3,38.609417,-121.269079
314297,3,38.60825,-121.271899
314301,3,38.64122,-121.455363
314336,3,39.128872,-121.584575
314342,3,39.128783,-121.584723
314343,3,39.128872,-121.584575
314355,3,39.121638,-121.573825
314371,3,38.553402,-121.410326
314379,3,38.643112,-121.115975
314380,3,38.643112,-121.115975
314402,3,38.646639,-121.376808
314407,3,38.646639,-121.376808
314419,3,38.683477,-121.336101
314420,3,38.683477,-121.336101
314421,3,38.683477,-121.336101
